Value,Food,Quantity,Units,Price,Date,Location,NDB,Notes,
1002,"Milk, whole",1,gallon,4.89,03/19/2019,Safeway - 94704,45287045,,94704 zipcode
1004,"Milk, reduced fat",1,gallon,6.88,03/19/2019,Safeway,45243941,,
1006,"Milk, low fat",1,gallon,6.88,03/19/2019,Safeway,45243941,,
1008,"Milk, non fat",1,gallon,3.39,03/19/2019,Safeway,45340014,,
1202,"Flavored milk,whole",0.5,gallon,3.39,03/19/2019,Safeway,14177,Chocolate milk,
1204,"Flavored milk, reduced fat",12,oz,1.99,03/19/2019,Safeway,45236702 ,,
1206,"Flavored milk, low fat",0.5,gallon,4.59,03/19/2019,Safeway,45289703,Chocolate milk,
1402,Milk shakes and other dairy drinks,14,oz,3,03/19/2019,Safeway,"""01110""",,
1404,Milk substitutes,64,oz,5.69,03/19/2019,Safeway,45325820 ,Organic coconut milk,
1602,Cheese,32,oz,6.99,03/19/2019,Safeway,45102597,1 lb,
1604,Cottage/ricotta cheese,16,oz,3.39,03/19/2019,Safeway,45285823,1 lb,
1802,"Yogurt, whole and reduced fat",32,oz,4.56,03/19/2019,Safeway,45314209,,
1804,"Yogurt, low-fat and nonfat",6,oz,0.89,03/19/2019,Safeway,45218030 ,Non-Fat Greek Yogurt,
2002,"Beef, excludes ground",3,lb,17.97,03/19/2019,Safeway,45258324,,
2004,Ground beef,3.5,lb,12.22,03/19/2019,Safeway,45092824,,
2006,Pork,4,lb,11.96,03/19/2019,Safeway,10036,Prk Chop Loin Raw,
2008,"Lamb, goat, game",16,oz,9.09,03/19/2019,Safeway,17371,Raw Ground Lamb,
2010,Liver and organ meats,1,lb,2.69,03/19/2019,Safeway,45350480 ,Chicken Liver,
2202,"Chicken, whole pieces",22,oz,6.99,03/19/2019,Safeway,45215768,Tyson Chicken Breasts Strips grilled - price,
2204,"Chicken patties, nuggets and tenders",29,oz,7.99,03/19/2019,Safeway,45307872 ,Tyson Breaded Chicken Patty,
2206,"Turkey, duck, other poultry",16,oz,5.99,03/19/2019,Safeway,45095377,Oscar meyer turkey breast oven roasted - price,
2402,Fish,1,lb,12.99,03/19/2019,Safeway,45324548,Salmon,
2404,Shellfish,1,lb,6.99,03/19/2019,Safeway,45209508,RAW SHRIMP,
2502,Eggs and omelets,30,oz,3.06,03/19/2019,Safeway,45365852,,
2602,Cold cuts and cured meats,1.5,lb,8.99,03/19/2019,Safeway,13350,"Dried, Cured Beef",
2604,Bacon,12,oz,3.5,03/19/2019,Safeway,07254,Turkey Bacon,
2606,Frankfurters,16,oz,1.5,03/19/2019,Safeway,07024 ,Chicken Franks,
2608,Sausages,12,oz,4.59,03/19/2019,Safeway,07074 ,Smoked Link Pork Sausage,
2802,"Beans, peas, legumes",20,oz,5.9,03/19/2019,Safeway,45218916,Green Beans,
2804,Nuts and seeds,10.5,oz,7.99,03/19/2019,Safeway,12087,Cashews,
2806,Processed soy products,22,oz,27.99,03/19/2019,Safeway,03941,"Baby Formula, Soy Powder",
3002,Meat mixed dishes,12.5,oz,5.69,03/19/2019,Safeway,45283218,Chunk Chicken Breast With Rib Meat,
3004,Poultry mixed dishes,12,oz,1.75,03/19/2019,Safeway,45061233,Mixed Vegetabes,
3006,Seafood mixed dishes,10.6,oz,3.99,03/19/2019,Safeway,45210059,Seafood mix,
3202,Rice mixed dishes,8,oz,2.9,03/20/2019,Safeway,45107172,Zatarais chicken rice dish,
3204,"Pasta mixed dishes, excludes macaroni and cheese",4.8,oz,1.25,03/19/2019,Safeway,45008742,Fettuccine Pasta with egg and spinach,
3206,Macaroni and cheese,7.25,oz,0.79,03/19/2019,Safeway,45355070,,
3208,Turnovers and other grain-based items,1.5,oz,2.69,03/19/2019,Safeway,45096683,MEAT LOAF SEASONING MIX,
3402,Fried rice and lo/chow mein,22,oz,6.99,03/19/2019,Safeway,45281687,PF Changs Chicken Fried Rice,
3404,Stir-fry and soy-based sauce mixtures,7,oz,3.39,03/19/2019,Safeway,45316124,Hoisin Sauce,
3406,"Egg rolls, dumplings, sushi",1,oz,0.77,03/20/2019,Safeway,45291329,Chicken and Veg Egg Rolls,
3502,Burritos and tacos,32,oz,3,03/19/2019,Safeway,45329553,El Monterey Taco Picante Burrito,
3504,Nachos,13,oz,3.5,03/20/2019,Safeway,45218348,Tostitos Tortilla Chips Original,
3602,Pizza,30.5,oz,5.9,03/22/2019,Safeway,45260706,RISING CRUST PEPPERONI PIZZA,
3702,Burgers,32,oz,12.49,03/23/2019,Safeway,45280663,"PREMIUM ANGUS BEEF BURGERS,",
3703,Frankfurter sandwiches,12,oz,3.99,03/20/2019,Safeway,45255353,Hot Dog,
3704,Chicken/turkey sandwiches,5.1,oz,1.97,03/25/2019,Safeway,45261435 ,Breaded Chicken Club Sandwich,
3706,Egg/breakfast sandwiches,36,oz,11.29,03/26/2019,Safeway,45261240,Egg and Cheese Bkfst Sandwich,
3708,Other sandwiches,5.7,oz,1.97,03/27/2019,Safeway,45217344,BBQ RIB SANDWICH,
3802,Soups,20,oz,3.39,03/28/2019,Safeway,06316,Garden Veg Soup,
4002,Rice,16,oz,1.09,03/29/2019,Safeway,45342863,LONG GRAIN WHOLE GRAIN BROWN RICE,
